FID,FID_1,GEOID,Count_,GEOID_1,partyRatio,GEOID_12,HHmedIncom,GEOID_1_13,normScore,Count_1,Sum_FID_,Sum_X_Long,Sum_Y_Lati
203,203,12115002711,0,12115002711,1.457708779,12115002711,63939,12115002711,0.761782,0,0,0,0
204,204,12113010706,0,12113010706,0,12113010706,59652,12113010706,0.794473,0,0,0,0
205,205,12113010200,0,12113010200,8.892720307,12113010200,48333,12113010200,0.941269,0,0,0,0
206,206,12113010300,0,12113010300,4.083131558,12113010300,77177,12113010300,0.845128,0,0,0,0
207,207,12113010702,0,12113010702,3.017277125,12113010702,63088,12113010702,0.74204,0,0,0,0
208,208,12113010704,2,12113010704,3.295746785,12113010704,68404,12113010704,0.79383,0,0,0,0
209,209,12113010705,0,12113010705,3.211711712,12113010705,37125,12113010705,0.776566,0,0,0,0
210,210,12113010802,0,12113010802,3.3,12113010802,74485,12113010802,0.789803,0,0,0,0
211,211,12113010100,0,12113010100,5.112781955,12113010100,48938,12113010100,0.886202,0,0,0,0
212,212,12113010400,1,12113010400,7.228813559,12113010400,59750,12113010400,0.87647,0,0,0,0
213,213,12113010600,0,12113010600,1.791255289,12113010600,40924,12113010600,0.58302,0,0,0,0
214,214,12103025013,0,12103025013,1.137226277,12103025013,65205,12103025013,0.861204,0,0,0,0
215,215,12115001202,0,12115001202,0.670886076,12115001202,46492,12115001202,0.829275,0,0,0,0
216,216,12103023000,0,12103023000,0.669980119,12103023000,42367,12103023000,0.599387,0,0,0,0
217,217,12103026907,0,12103026907,0.872020075,12103026907,54284,12103026907,0.790129,0,0,0,0
218,218,12103024301,0,12103024301,0.874285714,12103024301,59904,12103024301,0.697439,0,0,0,0
219,219,12103024906,0,12103024906,0.904391329,12103024906,41799,12103024906,0.675063,0,0,0,0
220,220,12103022100,0,12103022100,0.340648379,12103022100,61392,12103022100,0.498567,0,0,0,0
221,221,12103027501,0,12103027501,1.252906977,12103027501,67216,12103027501,0.972249,0,0,0,0
222,222,12103025602,0,12103025602,0.710451977,12103025602,30362,12103025602,0.747741,0,0,0,0
223,223,12103025004,0,12103025004,0.98547486,12103025004,40705,12103025004,0.61821,0,0,0,0
224,224,12109021101,0,12109021101,1.600272851,12109021101,39295,12109021101,0.56927,0,0,0,0
225,225,12083002001,0,12083002001,1.453225806,12083002001,26899,12083002001,0.770372,0,0,0,0
226,226,12083002002,0,12083002002,0,12083002002,34194,12083002002,0.611953,0,0,0,0
227,227,12115001504,0,12115001504,0,12115001504,53519,12115001504,0.958516,0,0,0,0
228,228,12115000501,0,12115000501,0,12115000501,80227,12115000501,0.912211,0,0,0,0
229,229,12115002303,0,12115002303,1.424044734,12115002303,61836,12115002303,0.962413,0,0,0,0
230,230,12115001203,0,12115001203,0.915552428,12115001203,59831,12115001203,0.980158,0,0,0,0
231,231,12115001204,0,12115001204,0,12115001204,67012,12115001204,0.768464,0,0,0,0
232,232,12115001301,1,12115001301,1.10940919,12115001301,64375,12115001301,0.819188,0,0,0,0
233,233,12011100101,0,12011100101,0.637532134,12011100101,46825,12011100101,0.811526,0,0,0,0
234,234,12103025115,0,12103025115,0.99339934,12103025115,27891,12103025115,0.833322,0,0,0,0
235,235,12103022902,0,12103022902,0.670940171,12103022902,39136,12103022902,0.463166,0,0,0,0
236,236,12103024508,0,12103024508,0.862585034,12103024508,47930,12103024508,0.612406,0,0,0,0
237,237,12103025303,0,12103025303,1.038077969,12103025303,38283,12103025303,0.846445,0,0,0,0
238,238,12103020201,0,12103020201,0.165829146,12103020201,65350,12103020201,0.424464,0,0,0,0
239,239,12103024905,0,12103024905,0.824411135,12103024905,50474,12103024905,0.624913,0,0,0,0
